-- texts/amharic-1.txt
Bütün: EOK (Latin)
insanlar: EOK (Latin)
hür: EOK (Latin)
haysiyet: EOK (Latin)
ve: EOK (Latin)
haklar: EOK (Latin)
bakımından: EOK (Latin)
eşit: EOK (Latin)
doğarlar: EOK (Latin)
Akıl: EOK (Latin)
ve: EOK (Latin)
vicdan: EOK (Latin)
sahibidirler: EOK (Latin)
ve: EOK (Latin)
birbirlerine: EOK (Latin)
karşı: EOK (Latin)
kardeşlik: EOK (Latin)
ruhuyla: EOK (Latin)
hareket: EOK (Latin)
etmelidirler: EOK (Latin)
-- texts/urdu-1.txt
اردو: EOK (Arabic)
تمام: EOK (Arabic)
انسان: EOK (Arabic)
آزاد: EOK (Arabic)
پیدا: EOK (Arabic)
ہوئے: EOK (Arabic)
ہیں: EOK (Arabic)
اور: EOK (Arabic)
عزت: EOK (Arabic)
اور: EOK (Arabic)
حقوق: EOK (Arabic)
میں: EOK (Arabic)
برابر: EOK (Arabic)
ہیں: EOK (Arabic)
وہ: EOK (Arabic)
عقل: EOK (Arabic)
اور: EOK (Arabic)
ضمیر: EOK (Arabic)
کے: EOK (Arabic)
حامل: EOK (Arabic)
ہیں: EOK (Arabic)
اور: EOK (Arabic)
انہیں: EOK (Arabic)
بھائی: EOK (Arabic)
چارے: EOK (Arabic)
کے: EOK (Arabic)
جذبے: EOK (Arabic)
سے: EOK (Arabic)
ایک: EOK (Arabic)
دوسرے: EOK (Arabic)
کے: EOK (Arabic)
ساتھ: EOK (Arabic)
برتاؤ: EOK (Arabic)
کرنا: EOK (Arabic)
چاہیے: EOK (Arabic)
-- texts/vietnamese-1.txt
Chữ: EOK (Latin)
quốc: EOK (Latin)
ngữ: EOK (Latin)
Tất: EOK (Latin)
cả: EOK (Latin)
con: EOK (Latin)
người: EOK (Latin)
sinh: EOK (Latin)
ra: EOK (Latin)
đều: EOK (Latin)
tự: EOK (Latin)
do: EOK (Latin)
bình: EOK (Latin)
đẳng: EOK (Latin)
về: EOK (Latin)
nhân: EOK (Latin)
phẩm: EOK (Latin)
và: EOK (Latin)
quyền: EOK (Latin)
Họ: EOK (Latin)
được: EOK (Latin)
phú: EOK (Latin)
cho: EOK (Latin)
lý: EOK (Latin)
trí: EOK (Latin)
và: EOK (Latin)
lương: EOK (Latin)
tâm: EOK (Latin)
và: EOK (Latin)
nên: EOK (Latin)
hành: EOK (Latin)
động: EOK (Latin)
với: EOK (Latin)
nhau: EOK (Latin)
trong: EOK (Latin)
tinh: EOK (Latin)
thần: EOK (Latin)
anh: EOK (Latin)
em: EOK (Latin)
